concept_en,feature_og,freq,feature,feature_en
pumpkin,黄色,9,colors,"['yellow', 'yellowness']"
pumpkin,中がオレンジ,2,colors,[]
pumpkin,中が黄色,3,colors,[]
rice,白,16,colors,"['whiteness', 'white', 'colorimetric whiteness']"
rice cooker,白,3,colors,"['whiteness', 'white', 'colorimetric whiteness']"
rocket,白,3,colors,"['whiteness', 'white', 'colorimetric whiteness']"
salmon,赤身,6,colors,[]
salmon,オレンジ色,5,colors,"['orangeness', 'orange']"
salmon,ピンク,2,colors,"['P!nk', 'Pink', 'pink']"
salmon,身がオレンジ色をしている,2,colors,[]
salmon,銀,2,colors,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
school bus,黄色,2,colors,"['yellow', 'yellowness']"
shark,青い,2,colors,[]
shark,黒,3,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
shelf,茶色,5,colors,"['brown', 'brownness', 'Aquilus']"
ship,白,4,colors,"['whiteness', 'white', 'colorimetric whiteness']"
shrimp,赤,9,colors,"['communist', 'communism', 'red', 'redness']"
shrimp,ピンク,2,colors,"['P!nk', 'Pink', 'pink']"
shrimp,ゆでると赤い,4,colors,[]
snail,茶色,3,colors,"['brown', 'brownness', 'Aquilus']"
spider,黒,5,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
sword,銀,4,colors,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
taxi,黒,2,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
tea,緑,9,colors,"['green', 'viridity', 'greenness']"
tea,茶色,5,colors,"['brown', 'brownness', 'Aquilus']"
toilet,白,8,colors,"['whiteness', 'white', 'colorimetric whiteness']"
toilet,便器は白い,2,colors,[]
tomato,赤,19,colors,"['communist', 'communism', 'red', 'redness']"
towel,白,6,colors,"['whiteness', 'white', 'colorimetric whiteness']"
train,銀,3,colors,"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
tree,緑,7,colors,"['green', 'viridity', 'greenness']"
tree,茶色,5,colors,"['brown', 'brownness', 'Aquilus']"
tree,幹が茶色,2,colors,[]
tree,緑色の葉がつく,2,colors,[]
tuna,赤,8,colors,"['communist', 'communism', 'red', 'redness']"
tuna,赤身,7,colors,[]
tuna,黒,2,colors,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness', 'outlaw', 'crook', 'criminal', 'malefactor', 'felon']"
turtle,緑,7,colors,"['green', 'viridity', 'greenness']"
water,透き通っている,16,colors,[]
