concept_en,concept_nl,feature_en_en,feature_nl,feature_nl_en,freq_en,freq_nl,total_en,total_other,frac_en,frac_nl,diff
robin,roodborstje,red,rood,"['red', 'redness']",14.0,8.0,25.0,8.0,0.56,1.0,0.43999999999999995
owl,uil,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,3.0,7.0,7.0,0.0,0.42857142857142855,0.42857142857142855
carrot,wortel,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,9.0,65.0,21.0,0.0,0.42857142857142855,0.42857142857142855
cocaine,cola,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,8.0,61.0,19.0,0.0,0.42105263157894735,0.42105263157894735
blueberry,bosbes,red,rood,"['red', 'redness']",0.0,8.0,27.0,19.0,0.0,0.42105263157894735,0.42105263157894735
deer,hert,brown,bruin,"['brown', 'brownness', 'Aquilus']",7.0,5.0,12.0,5.0,0.5833333333333334,1.0,0.41666666666666663
tiger,tijger,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",1.0,4.0,34.0,9.0,0.029411764705882353,0.4444444444444444,0.41503267973856206
worm,worm,pink,roze,['pink'],0.0,2.0,8.0,5.0,0.0,0.4,0.4
spoon,lepel,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,4.0,12.0,10.0,0.0,0.4,0.4
football,voetbal,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,2.0,15.0,5.0,0.0,0.4,0.4
flute,dwarsfluit,white,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,6.0,28.0,15.0,0.0,0.4,0.4
balloon,luchtballon,blue,blauw,"['blue', 'blueness']",0.0,2.0,16.0,5.0,0.0,0.4,0.4
peach,perzik,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,7.0,36.0,18.0,0.0,0.3888888888888889,0.3888888888888889
trumpet,trompet,yellow,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,8.0,5.0,21.0,0.0,0.38095238095238093,0.38095238095238093
lime,citroen,yellow,geel,"['yellow', 'yellowness']",0.0,9.0,96.0,24.0,0.0,0.375,0.375
avocado,advocaat,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,3.0,19.0,8.0,0.0,0.375,0.375
grape,druif,blue,blauw,"['blue', 'blueness']",0.0,8.0,94.0,24.0,0.0,0.3333333333333333,0.3333333333333333
garlic,look,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,2.0,29.0,6.0,0.0,0.3333333333333333,0.3333333333333333
cocaine,cola,red,rood,"['red', 'redness']",0.0,6.0,61.0,19.0,0.0,0.3157894736842105,0.3157894736842105
plate,bord,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,3.0,13.0,10.0,0.0,0.3,0.3
bean,bonen,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,6.0,32.0,20.0,0.0,0.3,0.3
tomato,pompoen,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,9.0,60.0,31.0,0.0,0.2903225806451613,0.2903225806451613
tomato,pompoen,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,9.0,60.0,31.0,0.0,0.2903225806451613,0.2903225806451613
pumpkin,pompoen,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,9.0,69.0,31.0,0.0,0.2903225806451613,0.2903225806451613
toad,kikker,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",19.0,9.0,31.0,10.0,0.6129032258064516,0.9,0.2870967741935484
wrench,moersleutel,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,5.0,7.0,0.0,0.2857142857142857,0.2857142857142857
pan,kookpot,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,6.0,7.0,0.0,0.2857142857142857,0.2857142857142857
owl,uil,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,7.0,7.0,0.0,0.2857142857142857,0.2857142857142857
bee,bij,yellow,geel,"['yellow', 'yellowness']",44.0,7.0,88.0,9.0,0.5,0.7777777777777778,0.2777777777777778
balloon,luchtballon,red,rood,"['red', 'redness']",2.0,2.0,16.0,5.0,0.125,0.4,0.275
lion,leeuw,yellow,geel,"['yellow', 'yellowness']",4.0,3.0,12.0,5.0,0.3333333333333333,0.6,0.26666666666666666
cocaine,cola,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,5.0,61.0,19.0,0.0,0.2631578947368421,0.2631578947368421
nectarine,nectarine,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,7.0,15.0,27.0,0.0,0.25925925925925924,0.25925925925925924
pumpkin,tomaat,red,rood,"['red', 'redness']",0.0,8.0,69.0,31.0,0.0,0.25806451612903225,0.25806451612903225
potato,aardappel,yellow,geel,"['yellow', 'yellowness']",1.0,2.0,29.0,7.0,0.034482758620689655,0.2857142857142857,0.25123152709359603
seagull,meeuw,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,19.0,8.0,0.0,0.25,0.25
salmon,zalm,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,4.0,23.0,16.0,0.0,0.25,0.25
lime,limoen,yellow,geel,"['yellow', 'yellowness']",0.0,6.0,96.0,24.0,0.0,0.25,0.25
gull,meeuw,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,8.0,8.0,0.0,0.25,0.25
car,auto,red,rood,"['red', 'redness']",2.0,3.0,8.0,6.0,0.25,0.5,0.25
giraffe,giraf,yellow,geel,"['yellow', 'yellowness']",15.0,8.0,41.0,13.0,0.36585365853658536,0.6153846153846154,0.24953095684803006
fox,vos,brown,bruin,"['brown', 'brownness', 'Aquilus']",5.0,4.0,104.0,14.0,0.04807692307692308,0.2857142857142857,0.23763736263736263
grapefruit,pompelmoes,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,7.0,67.0,30.0,0.0,0.23333333333333334,0.23333333333333334
kettle,waterkoker,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,3.0,6.0,13.0,0.0,0.23076923076923078,0.23076923076923078
shark,haai,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,2.0,6.0,9.0,0.0,0.2222222222222222,0.2222222222222222
nectarine,nectarine,,perzik,"['peach', 'peach tree', 'Prunus persica']",0.0,6.0,15.0,27.0,0.0,0.2222222222222222,0.2222222222222222
eggplant,aubergine,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",13.0,7.0,59.0,16.0,0.22033898305084745,0.4375,0.21716101694915255
worm,worm,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,1.0,8.0,5.0,0.0,0.2,0.2
squirrel,eekhoorn,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,47.0,10.0,0.0,0.2,0.2
spoon,lepel,white,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,2.0,12.0,10.0,0.0,0.2,0.2
peacock,pauw,purple,paars,"['purpleness', 'purple', 'violet', 'reddish blue']",0.0,2.0,8.0,10.0,0.0,0.2,0.2
iguana,leguaan,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,1.0,38.0,5.0,0.0,0.2,0.2
iguana,leguaan,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,38.0,5.0,0.0,0.2,0.2
iguana,leguaan,purple,paars,"['purpleness', 'purple', 'violet', 'reddish blue']",0.0,1.0,38.0,5.0,0.0,0.2,0.2
football,voetbal,blue,blauw,"['blue', 'blueness']",0.0,1.0,15.0,5.0,0.0,0.2,0.2
football,voetbal,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,15.0,5.0,0.0,0.2,0.2
elephant,olifant,,ivoor,"['ivory', 'tusk']",0.0,5.0,150.0,25.0,0.0,0.2,0.2
crowbar,breekijzer,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,8.0,10.0,0.0,0.2,0.2
clarinet,klarinet,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,12.0,10.0,0.0,0.2,0.2
cab,taxi,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,57.0,10.0,0.0,0.2,0.2
balloon,luchtballon,pink,roze,['pink'],0.0,1.0,16.0,5.0,0.0,0.2,0.2
swan,zwaan,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",1.0,3.0,43.0,14.0,0.023255813953488372,0.21428571428571427,0.1910299003322259
piano,hamer,red,rood,"['red', 'redness']",0.0,3.0,60.0,16.0,0.0,0.1875,0.1875
spider,spin,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,2.0,15.0,11.0,0.0,0.18181818181818182,0.18181818181818182
sock,sokken,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,6.0,11.0,0.0,0.18181818181818182,0.18181818181818182
sock,sokken,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,6.0,11.0,0.0,0.18181818181818182,0.18181818181818182
lizard,hagedis,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,6.0,11.0,0.0,0.18181818181818182,0.18181818181818182
crocodile,krokodil,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,2.0,10.0,11.0,0.0,0.18181818181818182,0.18181818181818182
bra,beha,red,rood,"['red', 'redness']",0.0,2.0,14.0,11.0,0.0,0.18181818181818182,0.18181818181818182
pineapple,ananas,yellow,geel,"['yellow', 'yellowness']",37.0,9.0,51.0,10.0,0.7254901960784313,0.9,0.17450980392156867
grapefruit,pompelmoes,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",4.0,7.0,67.0,30.0,0.05970149253731343,0.23333333333333334,0.1736318407960199
pepper,paprika,red,rood,"['red', 'redness']",7.0,9.0,58.0,31.0,0.1206896551724138,0.2903225806451613,0.1696329254727475
toaster,broodrooster,blue,blauw,"['blue', 'blueness']",0.0,1.0,5.0,6.0,0.0,0.16666666666666666,0.16666666666666666
toaster,broodrooster,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,1.0,5.0,6.0,0.0,0.16666666666666666,0.16666666666666666
onion,ajuin,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,1.0,26.0,6.0,0.0,0.16666666666666666,0.16666666666666666
onion,ajuin,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,1.0,26.0,6.0,0.0,0.16666666666666666,0.16666666666666666
onion,ajuin,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,1.0,26.0,6.0,0.0,0.16666666666666666,0.16666666666666666
grapefruit,pompelmoes,red,rood,"['red', 'redness']",0.0,5.0,67.0,30.0,0.0,0.16666666666666666,0.16666666666666666
goldfish,goudvis,red,rood,"['red', 'redness']",0.0,6.0,43.0,36.0,0.0,0.16666666666666666,0.16666666666666666
car,kar,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,1.0,8.0,6.0,0.0,0.16666666666666666,0.16666666666666666
car,auto,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,8.0,6.0,0.0,0.16666666666666666,0.16666666666666666
car,auto,blue,blauw,"['blue', 'blueness']",0.0,1.0,8.0,6.0,0.0,0.16666666666666666,0.16666666666666666
bus,koets,gold,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,2.0,46.0,12.0,0.0,0.16666666666666666,0.16666666666666666
bus,koets,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,2.0,46.0,12.0,0.0,0.16666666666666666,0.16666666666666666
bus,koets,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,46.0,12.0,0.0,0.16666666666666666,0.16666666666666666
beetle,kever,red,rood,"['red', 'redness']",0.0,2.0,11.0,12.0,0.0,0.16666666666666666,0.16666666666666666
tongue,tong,red,rood,"['red', 'redness']",3.0,6.0,6.0,9.0,0.5,0.6666666666666666,0.16666666666666663
grape,druif,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",4.0,5.0,94.0,24.0,0.0425531914893617,0.20833333333333334,0.16578014184397163
rat,mus,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,6.0,5.0,37.0,0.0,0.16216216216216217,0.16216216216216217
pepper,paprika,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,5.0,58.0,31.0,0.0,0.16129032258064516,0.16129032258064516
pepper,paprika,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,5.0,58.0,31.0,0.0,0.16129032258064516,0.16129032258064516
blueberry,bosbes,purple,paars,"['purpleness', 'purple', 'violet', 'reddish blue']",0.0,3.0,27.0,19.0,0.0,0.15789473684210525,0.15789473684210525
taxi,taxi,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",2.0,2.0,47.0,10.0,0.0425531914893617,0.2,0.1574468085106383
zucchini,courgette,purple,paars,"['purpleness', 'purple', 'violet', 'reddish blue']",0.0,2.0,32.0,13.0,0.0,0.15384615384615385,0.15384615384615385
kettle,waterkoker,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,6.0,13.0,0.0,0.15384615384615385,0.15384615384615385
lion,leeuw,brown,bruin,"['brown', 'brownness', 'Aquilus']",3.0,2.0,12.0,5.0,0.25,0.4,0.15000000000000002
nectarine,nectarine,red,rood,"['red', 'redness']",0.0,4.0,15.0,27.0,0.0,0.14814814814814814,0.14814814814814814
wrench,engelse sleutel,yellow,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,1.0,5.0,7.0,0.0,0.14285714285714285,0.14285714285714285
wrench,engelse sleutel,gold,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,1.0,5.0,7.0,0.0,0.14285714285714285,0.14285714285714285
wrench,engelse sleutel,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,5.0,7.0,0.0,0.14285714285714285,0.14285714285714285
wrench,engelse sleutel,white,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,1.0,5.0,7.0,0.0,0.14285714285714285,0.14285714285714285
trumpet,trompet,yellow,geel,"['yellow', 'yellowness']",0.0,3.0,5.0,21.0,0.0,0.14285714285714285,0.14285714285714285
pan,kookpot,red,rood,"['red', 'redness']",0.0,1.0,6.0,7.0,0.0,0.14285714285714285,0.14285714285714285
fox,vos,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,2.0,104.0,14.0,0.0,0.14285714285714285,0.14285714285714285
chickadee,mees,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,1.0,23.0,7.0,0.0,0.14285714285714285,0.14285714285714285
chickadee,mees,blue,blauw,"['blue', 'blueness']",0.0,1.0,23.0,7.0,0.0,0.14285714285714285,0.14285714285714285
strawberry,aardbei,red,rood,"['red', 'redness']",45.0,9.0,59.0,10.0,0.7627118644067796,0.9,0.1372881355932204
mouse,mus,brown,bruin,"['brown', 'brownness', 'Aquilus']",2.0,6.0,80.0,37.0,0.025,0.16216216216216217,0.13716216216216218
plum,pruim,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,2.0,49.0,15.0,0.0,0.13333333333333333,0.13333333333333333
plum,pruim,,perzik,"['peach', 'peach tree', 'Prunus persica']",0.0,2.0,49.0,15.0,0.0,0.13333333333333333,0.13333333333333333
flute,dwarsfluit,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,2.0,28.0,15.0,0.0,0.13333333333333333,0.13333333333333333
ant,mier,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,2.0,24.0,15.0,0.0,0.13333333333333333,0.13333333333333333
apple,appel,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",53.0,8.0,168.0,18.0,0.31547619047619047,0.4444444444444444,0.12896825396825395
potato,aardappel,brown,bruin,"['brown', 'brownness', 'Aquilus']",17.0,5.0,29.0,7.0,0.5862068965517241,0.7142857142857143,0.1280788177339902
raspberry,framboos,pink,roze,['pink'],3.0,2.0,41.0,10.0,0.07317073170731707,0.2,0.12682926829268293
seagull,meeuw,blue,blauw,"['blue', 'blueness']",0.0,1.0,19.0,8.0,0.0,0.125,0.125
pelican,pelikaan,red,rood,"['red', 'redness']",0.0,2.0,9.0,16.0,0.0,0.125,0.125
pelican,pelikaan,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,2.0,9.0,16.0,0.0,0.125,0.125
pelican,pelikaan,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,2.0,9.0,16.0,0.0,0.125,0.125
pelican,pelikaan,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,2.0,9.0,16.0,0.0,0.125,0.125
pelican,pelikaan,pink,roze,['pink'],0.0,2.0,9.0,16.0,0.0,0.125,0.125
gull,meeuw,blue,blauw,"['blue', 'blueness']",0.0,1.0,8.0,8.0,0.0,0.125,0.125
eggplant,aubergine,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,59.0,16.0,0.0,0.125,0.125
beaver,bever,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,19.0,8.0,0.0,0.125,0.125
beaver,bever,red,rood,"['red', 'redness']",0.0,1.0,19.0,8.0,0.0,0.125,0.125
cucumber,komkommer,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",45.0,10.0,51.0,10.0,0.8823529411764706,1.0,0.11764705882352944
corn,mais,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",3.0,2.0,43.0,11.0,0.06976744186046512,0.18181818181818182,0.11205073995771671
tiger,tijger,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,1.0,34.0,9.0,0.0,0.1111111111111111,0.1111111111111111
spaghetti,spaghetti,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,1.0,13.0,9.0,0.0,0.1111111111111111,0.1111111111111111
shark,haai,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,6.0,9.0,0.0,0.1111111111111111,0.1111111111111111
nectarine,nectarine,yellow,geel,"['yellow', 'yellowness']",0.0,3.0,15.0,27.0,0.0,0.1111111111111111,0.1111111111111111
buffalo,bizon,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,26.0,9.0,0.0,0.1111111111111111,0.1111111111111111
bison,bizon,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,10.0,9.0,0.0,0.1111111111111111,0.1111111111111111
belt,riem,white,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,1.0,33.0,9.0,0.0,0.1111111111111111,0.1111111111111111
belt,riem,white,wit,"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wit', 'wittiness', 'witticism']",0.0,1.0,33.0,9.0,0.0,0.1111111111111111,0.1111111111111111
belt,riem,silver,zilver,"['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']",0.0,1.0,33.0,9.0,0.0,0.1111111111111111,0.1111111111111111
goldfish,goudvis,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",6.0,9.0,43.0,36.0,0.13953488372093023,0.25,0.11046511627906977
rat,mus,grey,grijs,"['gray', 'grey', 'greyness', 'grayness']",0.0,4.0,5.0,37.0,0.0,0.10810810810810811,0.10810810810810811
pepper,paprika,yellow,geel,"['yellow', 'yellowness']",5.0,6.0,58.0,31.0,0.08620689655172414,0.1935483870967742,0.10734149054505004
blueberry,bosbes,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,2.0,27.0,19.0,0.0,0.10526315789473684,0.10526315789473684
coffee,koffie,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",18.0,8.0,32.0,12.0,0.5625,0.6666666666666666,0.10416666666666663
toad,kikker,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,31.0,10.0,0.0,0.1,0.1
spoon,lepel,gold,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,1.0,12.0,10.0,0.0,0.1,0.1
spoon,lepel,yellow,goud,"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']",0.0,1.0,12.0,10.0,0.0,0.1,0.1
spinach,spinazie,olive,Olijf,"['olive wood', 'olive grove', 'olive tree', 'olive', 'olive orchard', 'European olive tree', 'Olea europaea']",0.0,1.0,50.0,10.0,0.0,0.1,0.1
sheep,schaap,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,44.0,10.0,0.0,0.1,0.1
sheep,schaap,brown,bruin,"['brown', 'brownness', 'Aquilus']",0.0,1.0,44.0,10.0,0.0,0.1,0.1
salad,sla,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,66.0,10.0,0.0,0.1,0.1
raspberry,framboos,blue,blauw,"['blue', 'blueness']",0.0,1.0,41.0,10.0,0.0,0.1,0.1
pickle,augurken,red,rood,"['red', 'redness']",0.0,1.0,23.0,10.0,0.0,0.1,0.1
peacock,pauw,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,1.0,8.0,10.0,0.0,0.1,0.1
lemon,citroen,green,groen,"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']",0.0,1.0,46.0,10.0,0.0,0.1,0.1
jeans,jeans,black,zwart,"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']",0.0,1.0,22.0,10.0,0.0,0.1,0.1
frog,kikker,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,26.0,10.0,0.0,0.1,0.1
crowbar,koevoet,gold,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,1.0,8.0,10.0,0.0,0.1,0.1
crowbar,koevoet,orange,oranje,"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']",0.0,1.0,8.0,10.0,0.0,0.1,0.1
crowbar,koevoet,yellow,geel,"['yellow', 'yellowness']",0.0,1.0,8.0,10.0,0.0,0.1,0.1
