concept_og,feature_og,freq,feature,concept_en,feature_en
Beere,schwarz,1,colors,['berry'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bettwäsche,weiß,3,colors,"['bedclothes', 'bedding', 'bed clothing', 'bedsheet', 'sheet', 'bed sheet']","['whiteness', 'white', 'colorimetric whiteness']"
Bier,gelb,2,colors,"['beer', 'ale', 'brewing industry']","['yellow', 'yellowness']"
Bier,weiß,1,colors,"['beer', 'ale', 'brewing industry']","['whiteness', 'white', 'colorimetric whiteness']"
Bildschirm,schwarz,1,colors,"['monitor', 'computer display', 'computer monitor']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bildschirm,weiß,1,colors,"['monitor', 'computer display', 'computer monitor']","['whiteness', 'white', 'colorimetric whiteness']"
Billiard,schwarz,1,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Billiardtisch,grün,4,colors,[],"['green', 'viridity', 'greenness']"
Blatt,grün,6,colors,"['leaf', 'foliage', 'leafage', 'Laphi', 'sheet', 'sheet of paper', 'piece of paper', 'page']","['green', 'viridity', 'greenness']"
Blatt,weiß,1,colors,"['leaf', 'foliage', 'leafage', 'Laphi', 'sheet', 'sheet of paper', 'piece of paper', 'page']","['whiteness', 'white', 'colorimetric whiteness']"
Blei,grau,1,colors,"['lead', 'Pb']","['gray', 'grey', 'greyness', 'grayness']"
Blei,silber,2,colors,"['lead', 'Pb']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Bleistift,grau,1,colors,['pencil'],"['gray', 'grey', 'greyness', 'grayness']"
Blockflöte,braun,1,colors,"['recorder', 'fipple flute', 'vertical flute', 'fipple pipe', 'Vertical flute']","['brown', 'brownness', 'Aquilus']"
Blume,grün,1,colors,"['bloom', 'blossom', 'flower', 'blossoming', 'efflorescence', 'flowering', 'flowering stage']","['green', 'viridity', 'greenness']"
Blumenkohl,grün,1,colors,"['cauliflower', 'Brassica oleracea botrytis', 'Brassica oleracea var. botrytis']","['green', 'viridity', 'greenness']"
Blumenkohl,weiß,13,colors,"['cauliflower', 'Brassica oleracea botrytis', 'Brassica oleracea var. botrytis']","['whiteness', 'white', 'colorimetric whiteness']"
Blumenstrauß,grün,1,colors,"['posy', 'posie', 'flower bouquet', 'nosegay', 'bouquet', 'tussie-mussie', 'posey', 'flower artist']","['green', 'viridity', 'greenness']"
Braut,weiß,14,colors,['bride'],"['whiteness', 'white', 'colorimetric whiteness']"
Brautkleid,weiß,18,colors,"['wedding gown', 'wedding dress', 'bridal gown', 'contemporary Western wedding dress']","['whiteness', 'white', 'colorimetric whiteness']"
Brief,weiß,3,colors,"['letter', 'missive']","['whiteness', 'white', 'colorimetric whiteness']"
Briefkasten,gelb,3,colors,"['mailbox', 'postbox', 'letter box', 'collection box', 'post box']","['yellow', 'yellowness']"
Briefpapier,weiß,4,colors,"['notepaper', 'notebook']","['whiteness', 'white', 'colorimetric whiteness']"
Briefträger,gelb,2,colors,"['carrier', 'mailman', 'postman', 'mail carrier', 'letter carrier']","['yellow', 'yellowness']"
Brom,braun,1,colors,"['bromine', 'Br']","['brown', 'brownness', 'Aquilus']"
Brom,lila,1,colors,"['bromine', 'Br']","['purpleness', 'purple', 'violet', 'reddish blue']"
Brom,rot,1,colors,"['bromine', 'Br']","['red', 'redness']"
Brombeere,blau,2,colors,"['blackberry', 'blackberry bush', 'Rubus subg. Rubus']","['blue', 'blueness']"
Brombeere,lila,2,colors,"['blackberry', 'blackberry bush', 'Rubus subg. Rubus']","['purpleness', 'purple', 'violet', 'reddish blue']"
Brombeere,rot,1,colors,"['blackberry', 'blackberry bush', 'Rubus subg. Rubus']","['red', 'redness']"
Brombeere,schwarz,11,colors,"['blackberry', 'blackberry bush', 'Rubus subg. Rubus']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Brust,weiß,1,colors,"['tit', 'bosom', 'breast', 'bust', 'knockers', 'breasts', 'boobies', 'tits', 'funbags', 'boobs', 'titty', 'knocker', 'boob', 'chest', 'thorax', 'chest cavity', 'thoracic cavity', 'pectus']","['whiteness', 'white', 'colorimetric whiteness']"
Bulle,beige,1,colors,"['papal bull', 'bull', 'policeman', 'police officer', 'policewoman', 'cop', 'officer']",['ecru']
Bulle,braun,2,colors,"['papal bull', 'bull', 'policeman', 'police officer', 'policewoman', 'cop', 'officer']","['brown', 'brownness', 'Aquilus']"
Bulle,rot,1,colors,"['papal bull', 'bull', 'policeman', 'police officer', 'policewoman', 'cop', 'officer']","['red', 'redness']"
Bulle,schwarz,3,colors,"['papal bull', 'bull', 'policeman', 'police officer', 'policewoman', 'cop', 'officer']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bulle,weiß,1,colors,"['papal bull', 'bull', 'policeman', 'police officer', 'policewoman', 'cop', 'officer']","['whiteness', 'white', 'colorimetric whiteness']"
Bär,braun,10,colors,"['boar', 'wild hog', 'wild boar', 'Sus scrofa', 'wild pig', 'bear', 'Ursidae']","['brown', 'brownness', 'Aquilus']"
Bär,schwarz,2,colors,"['boar', 'wild hog', 'wild boar', 'Sus scrofa', 'wild pig', 'bear', 'Ursidae']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bär,weiß,2,colors,"['boar', 'wild hog', 'wild boar', 'Sus scrofa', 'wild pig', 'bear', 'Ursidae']","['whiteness', 'white', 'colorimetric whiteness']"
Bärchen,schwarz,1,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Bärlauch,blau,2,colors,"['wood garlic', 'broad-leaved garlic', ""bear's garlic"", 'buckrams', 'ramsons', 'wild garlic', 'Allium ursinum']","['blue', 'blueness']"
Bärlauch,grün,2,colors,"['wood garlic', 'broad-leaved garlic', ""bear's garlic"", 'buckrams', 'ramsons', 'wild garlic', 'Allium ursinum']","['green', 'viridity', 'greenness']"
Büroklammer,silber,1,colors,"['paper clip', 'paperclip', 'gem clip']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Bürste,braun,1,colors,['brush'],"['brown', 'brownness', 'Aquilus']"
Cowboyhut,braun,1,colors,"['ten-gallon hat', 'cowboy hat']","['brown', 'brownness', 'Aquilus']"
Cowboystiefel,braun,2,colors,['cowboy boot'],"['brown', 'brownness', 'Aquilus']"
Cowboystiefel,weiß,1,colors,['cowboy boot'],"['whiteness', 'white', 'colorimetric whiteness']"
Creme,gelb,1,colors,"['ointment', 'emollient', 'cream']","['yellow', 'yellowness']"
Creme,weiß,5,colors,"['ointment', 'emollient', 'cream']","['whiteness', 'white', 'colorimetric whiteness']"
Dach,rot,1,colors,['roof'],"['red', 'redness']"
Domino,schwarz,6,colors,"['dominoes', 'dominos']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Domino,weiß,4,colors,"['dominoes', 'dominos']","['whiteness', 'white', 'colorimetric whiteness']"
Dominostein,schwarz,3,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Dominostein,weiß,3,colors,[],"['whiteness', 'white', 'colorimetric whiteness']"
Echse,gelb,1,colors,"['lizard', 'Lacertilia']","['yellow', 'yellowness']"
Ei,braun,2,colors,"[""hen's egg"", ""chicken's egg"", 'chicken egg', 'egg', 'eggs', 'Eggs as food', 'insect egg']","['brown', 'brownness', 'Aquilus']"
Ei,gelb,2,colors,"[""hen's egg"", ""chicken's egg"", 'chicken egg', 'egg', 'eggs', 'Eggs as food', 'insect egg']","['yellow', 'yellowness']"
Ei,rot,1,colors,"[""hen's egg"", ""chicken's egg"", 'chicken egg', 'egg', 'eggs', 'Eggs as food', 'insect egg']","['red', 'redness']"
Ei,weiß,7,colors,"[""hen's egg"", ""chicken's egg"", 'chicken egg', 'egg', 'eggs', 'Eggs as food', 'insect egg']","['whiteness', 'white', 'colorimetric whiteness']"
Eimer,schwarz,1,colors,"['bucket', 'pail', 'Pail']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Eisberg,weiß,2,colors,"['iceberg', 'berg']","['whiteness', 'white', 'colorimetric whiteness']"
Eisbär,weiß,7,colors,"['polar bear', 'Thalarctos maritimus', 'Ursus Maritimus', 'ice bear']","['whiteness', 'white', 'colorimetric whiteness']"
Eisen,grau,1,colors,"['iron', 'Fe']","['gray', 'grey', 'greyness', 'grayness']"
Eisen,silber,1,colors,"['iron', 'Fe']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Eiswürfel,weiß,1,colors,['ice cube'],"['whiteness', 'white', 'colorimetric whiteness']"
Ente,gelb,2,colors,"['duck', 'hoax', 'fraudulence', 'humbug', 'fraud', 'put-on', 'dupery']","['yellow', 'yellowness']"
Erdbeere,rosa,1,colors,"['garden strawberry', 'strawberry', 'strawberry juice']","['rose', 'rosebush', 'pink']"
Erdbeere,rot,9,colors,"['garden strawberry', 'strawberry', 'strawberry juice']","['red', 'redness']"
Erde,blau,2,colors,"['Blue Planet', 'Earth', 'earth', 'globe', 'world', 'World', 'Globe', 'land', 'ground', 'terra firma', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt']","['blue', 'blueness']"
Erde,braun,1,colors,"['Blue Planet', 'Earth', 'earth', 'globe', 'world', 'World', 'Globe', 'land', 'ground', 'terra firma', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt']","['brown', 'brownness', 'Aquilus']"
Erde,grün,1,colors,"['Blue Planet', 'Earth', 'earth', 'globe', 'world', 'World', 'Globe', 'land', 'ground', 'terra firma', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt']","['green', 'viridity', 'greenness']"
Erdnuss,braun,2,colors,"['monkey nut', 'peanut', 'groundnut', 'jack nut', 'pinda', 'earthnut', 'goober', 'peanut vine', 'Arachis hypogaea', 'Arakido']","['brown', 'brownness', 'Aquilus']"
Erdnuss,rot,2,colors,"['monkey nut', 'peanut', 'groundnut', 'jack nut', 'pinda', 'earthnut', 'goober', 'peanut vine', 'Arachis hypogaea', 'Arakido']","['red', 'redness']"
Espresso,schwarz,3,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Feder,weiß,2,colors,"['plume', 'feathers', 'feather', 'plumage', 'barbule', 'spring', 'pen']","['whiteness', 'white', 'colorimetric whiteness']"
Federball,weiß,1,colors,['badminton'],"['whiteness', 'white', 'colorimetric whiteness']"
Feld,braun,1,colors,"['plain', 'champaign', 'field', 'acre']","['brown', 'brownness', 'Aquilus']"
Feld,grün,2,colors,"['plain', 'champaign', 'field', 'acre']","['green', 'viridity', 'greenness']"
Feldsalat,grün,8,colors,"['rapunzel', ""lamb's lettuce"", 'corn salad', 'common corn salad', 'Valerianella locusta', 'Valerianella olitoria']","['green', 'viridity', 'greenness']"
Feuer,blau,1,colors,"['flame', 'fire', 'flaming']","['blue', 'blueness']"
Feuer,gelb,3,colors,"['flame', 'fire', 'flaming']","['yellow', 'yellowness']"
Feuer,orange,3,colors,"['flame', 'fire', 'flaming']","['France Télécom', 'Orange S.A.', 'orangeness']"
Feuer,rot,2,colors,"['flame', 'fire', 'flaming']","['red', 'redness']"
Fieber,rot,1,colors,"['pyrexia', 'fever', 'feverishness', 'febricity', 'febrility']","['red', 'redness']"
Fieberthermometer,silber,9,colors,"['mercury-in-glass clinical thermometer', 'clinical thermometer', 'medical thermometer']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Fingerhut,grün,1,colors,"['foxglove', 'digitalis', 'Digitalis']","['green', 'viridity', 'greenness']"
Fingerhut,rot,1,colors,"['foxglove', 'digitalis', 'Digitalis']","['red', 'redness']"
Fingerhut,weiß,1,colors,"['foxglove', 'digitalis', 'Digitalis']","['whiteness', 'white', 'colorimetric whiteness']"
Fladen,braun,1,colors,['rijstevlaai'],"['brown', 'brownness', 'Aquilus']"
Fladen,rot,3,colors,['rijstevlaai'],"['red', 'redness']"
Fleisch,rosa,2,colors,"['meat', 'human body', 'human physiology', 'build', 'figure', 'soma', 'chassis', 'form', 'anatomy', 'shape', 'frame', 'physique', 'flesh', 'material body', 'physical body', 'bod']","['rose', 'rosebush', 'pink']"
Fleisch,rot,2,colors,"['meat', 'human body', 'human physiology', 'build', 'figure', 'soma', 'chassis', 'form', 'anatomy', 'shape', 'frame', 'physique', 'flesh', 'material body', 'physical body', 'bod']","['red', 'redness']"
Fleisch,weiß,1,colors,"['meat', 'human body', 'human physiology', 'build', 'figure', 'soma', 'chassis', 'form', 'anatomy', 'shape', 'frame', 'physique', 'flesh', 'material body', 'physical body', 'bod']","['whiteness', 'white', 'colorimetric whiteness']"
Fliege,schwarz,6,colors,"['fly', 'Diptera']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Fliegenpilz,rot,16,colors,"['fly agaric', 'fly Amanita', 'Amanita muscaria']","['red', 'redness']"
Fliegenpilz,weiß,14,colors,"['fly agaric', 'fly Amanita', 'Amanita muscaria']","['whiteness', 'white', 'colorimetric whiteness']"
Floh,schwarz,1,colors,"['flea', 'Siphonaptera']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Flohmarkt,rot,1,colors,"['peddler', 'packman', 'pedlar', 'pitchman', 'hawker', 'street vendor']","['red', 'redness']"
Flohmarkt,weiß,1,colors,"['peddler', 'packman', 'pedlar', 'pitchman', 'hawker', 'street vendor']","['whiteness', 'white', 'colorimetric whiteness']"
Foto,schwarz,4,colors,"['photo', 'photograph', 'picture', 'pic', 'exposure']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Foto,weiß,4,colors,"['photo', 'photograph', 'picture', 'pic', 'exposure']","['whiteness', 'white', 'colorimetric whiteness']"
Fußball,schwarz,2,colors,"['football', 'association football', 'soccer', 'ball', 'association football ball', 'soccerball', 'football game', 'football codes', 'Football', 'globe', 'orb']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Fußball,weiß,2,colors,"['football', 'association football', 'soccer', 'ball', 'association football ball', 'soccerball', 'football game', 'football codes', 'Football', 'globe', 'orb']","['whiteness', 'white', 'colorimetric whiteness']"
Gesangsbuch,schwarz,1,colors,"['hymnbook', 'hymnal', 'hymnary', 'Christian song book']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Gewächs,grün,8,colors,"['vegetation', 'flora', 'plant species', 'plant', 'plant life']","['green', 'viridity', 'greenness']"
Gewächshaus,weiß,1,colors,"['greenhouse', 'glasshouse', 'nursery']","['whiteness', 'white', 'colorimetric whiteness']"
Golfball,weiß,16,colors,['golf ball'],"['whiteness', 'white', 'colorimetric whiteness']"
Gummi,rot,1,colors,"['prophylactic', 'French letter', 'safety', 'safe', 'condom', 'rubber', 'caoutchouc', 'polyisoprene', 'gum elastic', 'natural rubber', 'India rubber', 'vulcanized rubber', 'synthetic rubber']","['red', 'redness']"
Gummibärchen,gold,1,colors,['gummy bear'],"['Au', 'amber', 'golden brown']"
Gummiente,gelb,13,colors,['rubber duck'],"['yellow', 'yellowness']"
Gummiente,rot,1,colors,['rubber duck'],"['red', 'redness']"
Gummistiefel,gelb,4,colors,"['rainboots', 'wellies', 'galoshes', 'wellington boots', 'rubber boots', 'wellingtons', 'gumboots', 'Hessian boot', 'Wellington', 'jackboot', 'Wellington boot', 'hessian', 'Hessian']","['yellow', 'yellowness']"
Gummistiefel,schwarz,1,colors,"['rainboots', 'wellies', 'galoshes', 'wellington boots', 'rubber boots', 'wellingtons', 'gumboots', 'Hessian boot', 'Wellington', 'jackboot', 'Wellington boot', 'hessian', 'Hessian']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Gummistiefel,weiß,1,colors,"['rainboots', 'wellies', 'galoshes', 'wellington boots', 'rubber boots', 'wellingtons', 'gumboots', 'Hessian boot', 'Wellington', 'jackboot', 'Wellington boot', 'hessian', 'Hessian']","['whiteness', 'white', 'colorimetric whiteness']"
Gürteltier,grau,1,colors,['armadillo'],"['gray', 'grey', 'greyness', 'grayness']"
Haar,braun,1,colors,"['hair', 'pilus']","['brown', 'brownness', 'Aquilus']"
Haar,grau,1,colors,"['hair', 'pilus']","['gray', 'grey', 'greyness', 'grayness']"
Haar,rot,1,colors,"['hair', 'pilus']","['red', 'redness']"
Haar,schwarz,3,colors,"['hair', 'pilus']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Hahnenfuß,gelb,3,colors,"['genus Ranunculus', 'Ranunculus']","['yellow', 'yellowness']"
Hahnenfuß,grün,1,colors,"['genus Ranunculus', 'Ranunculus']","['green', 'viridity', 'greenness']"
Halm,grün,6,colors,['straw'],"['green', 'viridity', 'greenness']"
Halskette,gold,1,colors,['necklace'],"['Au', 'amber', 'golden brown']"
Halskette,silber,1,colors,['necklace'],"['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Handcrème,weiß,10,colors,"['ointment', 'emollient', 'cream']","['whiteness', 'white', 'colorimetric whiteness']"
Handtuch,rot,3,colors,['towel'],"['red', 'redness']"
Hasel,braun,3,colors,"['hazel', 'hazelnut oil', 'hazelnut', 'hazelnut tree', 'Corylus', 'Corylus avellana']","['brown', 'brownness', 'Aquilus']"
Haselnuss,braun,8,colors,"['cobnut', 'filbert', 'Corylus avellana grandis', 'Corylus avellana']","['brown', 'brownness', 'Aquilus']"
Haus,weiß,2,colors,"['house', 'home', 'dwelling', 'habitation', 'dwelling house', 'abode', 'domicile', 'Flotten, Hemmet och Sandlådan', 'residence']","['whiteness', 'white', 'colorimetric whiteness']"
Heide,rosa,1,colors,"['pagan religion', 'paganism', 'heathenism']","['rose', 'rosebush', 'pink']"
Heidelbeere,blau,6,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['blue', 'blueness']"
Heidelbeere,lila,1,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['purpleness', 'purple', 'violet', 'reddish blue']"
Hemd,weiß,2,colors,['shirt'],"['whiteness', 'white', 'colorimetric whiteness']"
Heu,beige,1,colors,['hay'],['ecru']
Heu,gelb,1,colors,['hay'],"['yellow', 'yellowness']"
Heu,grün,2,colors,['hay'],"['green', 'viridity', 'greenness']"
Heuhaufen,rot,1,colors,"['rick', 'haystack', 'hayrick']","['red', 'redness']"
Himbeere,rosa,3,colors,"['wild raspberry', 'framboise', 'European raspberry', 'Rubus idaeus', 'raspberry', 'raspberry bush']","['rose', 'rosebush', 'pink']"
Himbeere,rot,4,colors,"['wild raspberry', 'framboise', 'European raspberry', 'Rubus idaeus', 'raspberry', 'raspberry bush']","['red', 'redness']"
Hirsch,braun,4,colors,"['hind', 'deer', 'doe', 'cervid', 'Cervidae']","['brown', 'brownness', 'Aquilus']"
Hirsch,weiß,1,colors,"['hind', 'deer', 'doe', 'cervid', 'Cervidae']","['whiteness', 'white', 'colorimetric whiteness']"
Hirschkäfer,braun,1,colors,"['stag beetle', 'Lucanidae']","['brown', 'brownness', 'Aquilus']"
Hirschkäfer,grün,1,colors,"['stag beetle', 'Lucanidae']","['green', 'viridity', 'greenness']"
Hirschkäfer,schwarz,4,colors,"['stag beetle', 'Lucanidae']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Hollywood,weiß,1,colors,['cinema of the United States'],"['whiteness', 'white', 'colorimetric whiteness']"
Hollywoodschaukel,weiß,1,colors,[],"['whiteness', 'white', 'colorimetric whiteness']"
Holz,braun,2,colors,"['forrest', 'forest', 'wood', 'woods', 'Wälder', 'sap-wood', 'sapwood', 'alburnum']","['brown', 'brownness', 'Aquilus']"
Horn,beige,1,colors,"['top', 'apex', 'summit', 'peak', 'crown', 'crest', 'tip', 'Weapon']",['ecru']
Horn,grau,1,colors,"['top', 'apex', 'summit', 'peak', 'crown', 'crest', 'tip', 'Weapon']","['gray', 'grey', 'greyness', 'grayness']"
Horn,weiß,1,colors,"['top', 'apex', 'summit', 'peak', 'crown', 'crest', 'tip', 'Weapon']","['whiteness', 'white', 'colorimetric whiteness']"
Hornbrille,braun,4,colors,"['Horn-rimmed glasses', 'horn-rimmed glasses']","['brown', 'brownness', 'Aquilus']"
Hornbrille,gelb,2,colors,"['Horn-rimmed glasses', 'horn-rimmed glasses']","['yellow', 'yellowness']"
Hornbrille,schwarz,2,colors,"['Horn-rimmed glasses', 'horn-rimmed glasses']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Hufeisen,silber,1,colors,"['shoe', 'horseshoe']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Hut,braun,1,colors,"['hat', 'chapeau', 'lid']","['brown', 'brownness', 'Aquilus']"
Hüttenkäse,gelb,1,colors,"['curd cheese', 'cottage cheese', 'pot cheese', ""farmer's cheese"", 'farm cheese', 'farmer cheese', 'Farmer cheese']","['yellow', 'yellowness']"
Hüttenkäse,rot,5,colors,"['curd cheese', 'cottage cheese', 'pot cheese', ""farmer's cheese"", 'farm cheese', 'farmer cheese', 'Farmer cheese']","['red', 'redness']"
Hüttenkäse,weiß,13,colors,"['curd cheese', 'cottage cheese', 'pot cheese', ""farmer's cheese"", 'farm cheese', 'farmer cheese', 'Farmer cheese']","['whiteness', 'white', 'colorimetric whiteness']"
Jeans,blau,16,colors,"['blue jeans', 'denim', 'blue jean', 'jean']","['blue', 'blueness']"
Jeanshemd,blau,16,colors,['denim shirt'],"['blue', 'blueness']"
Jeanshemd,schwarz,1,colors,['denim shirt'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Jeansjacke,blau,6,colors,"['blue jeans', 'jeans', 'denim', 'blue jean', 'jean']","['blue', 'blueness']"
Jäger,grün,1,colors,"['hunt', 'hunting', 'hunter', 'huntsman']","['green', 'viridity', 'greenness']"
Jägerzaun,braun,3,colors,['Trellis-work fences'],"['brown', 'brownness', 'Aquilus']"
Jägerzaun,schwarz,1,colors,['Trellis-work fences'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Kaffee,braun,2,colors,"['coffee plant', 'coffee', 'java', 'health effects of coffee', 'coffee berry', 'coffee bean']","['brown', 'brownness', 'Aquilus']"
Kaffee,schwarz,3,colors,"['coffee plant', 'coffee', 'java', 'health effects of coffee', 'coffee berry', 'coffee bean']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
Kaffeemühle,rot,1,colors,"['coffee grounds', 'coffee grinder']","['red', 'redness']"
Kaffeepad,weiß,1,colors,"['single-serve coffee container', 'coffee pad']","['whiteness', 'white', 'colorimetric whiteness']"
Karte,gelb,1,colors,"['function', 'map', 'mapping', 'single-valued function', 'mathematical function', 'ticket', 'card']","['yellow', 'yellowness']"
Karte,rot,1,colors,"['function', 'map', 'mapping', 'single-valued function', 'mathematical function', 'ticket', 'card']","['red', 'redness']"
Kette,silber,1,colors,"['necklace', 'concatenation', 'chain', 'Concatenation']","['silver', 'Ag', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
Klammer,rot,1,colors,"['two', 'deuce', 'II']","['red', 'redness']"
Kleid,weiß,1,colors,"['dress', 'frock', 'maxi dress']","['whiteness', 'white', 'colorimetric whiteness']"
