concept_en,feature_en,feature,freq
cake,colourful,colors,3
camel,brown,colors,23
camel,gold,colors,2
camisole,white,colors,9
canary,yellow,colors,28
cannon,black,colors,13
cantaloupe,orange,colors,24
canvas,white,colors,5
cape,black,colors,8
car,coloured,colors,2
car,comes_in_multiple_colours,colors,2
car,different_colours,colors,2
car,red,colors,2
carbon,black,colors,5
cardboard,brown,colors,10
cardinal,red,colors,17
caribou,brown,colors,5
carpet,different_colours,colors,4
carrot,green,colors,19
carrot,orange,colors,46
carrots,orange,colors,53
cash,green,colors,33
cat,gray,colors,1
caterpillar,green,colors,5
cauliflower,green,colors,9
cauliflower,white,colors,46
cedar,green,colors,5
ceiling,white,colors,2
celery,green,colors,46
chain,gold,colors,8
chain,silver,colors,9
chair,different_colours,colors,2
chalk,white,colors,38
chalkboard,black,colors,15
chalkboard,green,colors,12
charcoal,black,colors,17
charcoal,gray,colors,7
checkers,black,colors,10
checkers,red,colors,9
cheese,orange,colors,14
cheese,white,colors,8
cheese,yellow,colors,11
cheetah,black,colors,21
cheetah,yellow,colors,7
chef,white,colors,5
cherry,purple,colors,1
cherry,red,colors,46
cherry,yellow,colors,1
chevron,blue,colors,19
chickadee,black,colors,7
chickadee,brown,colors,5
chickadee,yellow,colors,11
chimp,brown,colors,5
chipmunk,brown,colors,7
chipmunk,white,colors,6
chocolate,brown,colors,23
chop,brown,colors,1
chromium,silver,colors,39
cigar,brown,colors,16
cigarette,white,colors,9
cinnamon,brown,colors,5
clarinet,black,colors,12
clay,brown,colors,32
clay,gray,colors,22
clay,red,colors,28
cloak,black,colors,9
cloud,gray,colors,12
cloud,white,colors,12
cloudy,gray,colors,15
clown,red,colors,22
coal,black,colors,18
cocaine,white,colors,61
cockroach,black,colors,8
cockroach,brown,colors,12
coconut,brown,colors,20
coconut,white,colors,20
coffee,black,colors,18
coffee,brown,colors,14
coin,silver,colors,5
coke,brown,colors,11
coke,red,colors,12
color,blue,colors,10
color,green,colors,12
color,red,colors,11
comic,in_black_and_white_or_colour,colors,2
comic,looks_colourful,colors,5
concrete,gray,colors,22
copper,brown,colors,10
copper,red,colors,10
cork,brown,colors,6
corn,green,colors,3
corn,yellow,colors,40
cotton,white,colors,29
cougar,brown,colors,6
cow,black,colors,17
cow,brown,colors,10
cow,white,colors,19
crab,red,colors,17
crackle,yellow,colors,1
cranberry,red,colors,24
crane_machine,yellow,colors,6
cream,white,colors,6
crocodile,green,colors,10
crow,black,colors,25
crowbar,black,colors,6
crowbar,silver,colors,2
crown,gold,colors,21
crown,silver,colors,5
cry,red,colors,1
cucumber,green,colors,45
cucumber,white,colors,6
curry,brown,colors,3
dagger,silver,colors,1
dandelion,green,colors,13
dandelion,white,colors,4
dandelion,white_or_yellow,colors,2
dandelion,yellow,colors,43
dandruff,white,colors,11
dark,black,colors,105
darkness,black,colors,24
deer,brown,colors,7
deer,white,colors,5
deodorant,white,colors,11
devil,red,colors,11
die,black,colors,11
dill,green,colors,10
dime,silver,colors,35
dirt,brown,colors,110
dishes,silver,colors,16
doctor,white,colors,17
dollar,green,colors,29
dollars,green,colors,22
donkey,brown,colors,6
donkey,gray,colors,1
dove,white,colors,25
dracula,black,colors,5
dracula,pale,colors,7
dracula,red,colors,2
drill,black,colors,5
dull,gray,colors,11
earring,gold,colors,18
earring,silver,colors,16
eel,grey,colors,2
eggplant,green,colors,13
eggplant,purple,colors,36
eggplant,white,colors,9
eggplant,yellow,colors,1
elephant,gray,colors,150
elk,brown,colors,7
embarrass,red,colors,28
emerald,green,colors,26
envelope,white,colors,13
environment,green,colors,39
escalator,black,colors,5
exit,red,colors,31
eye,brown,colors,2
eye,white,colors,1
eyeliner,black,colors,15
fall,brown,colors,28
fall,orange,colors,42
fall,red,colors,32
fall,yellow,colors,32
fawn,brown,colors,9
fence,brown,colors,1
fence,grey,colors,2
fence,white,colors,17
fence,white_picket_fence,colors,2
finch,yellow,colors,5
finger,pink,colors,30
fire,blue,colors,13
fire,orange,colors,25
fire,red,colors,46
fire,yellow,colors,11
fish,colourful,colors,3
flag,blue,colors,15
flag,red,colors,16
flag,white,colors,16
flakes,white,colors,14
flame,blue,colors,4
flame,orange,colors,8
flame,purple,colors,1
flame,red,colors,7
flame,white,colors,1
flame,yellow,colors,4
flamingo,pink,colors,23
flea,black,colors,12
fleet,navy,colors,10
florida,orange,colors,26
flour,white,colors,13
flush,red,colors,18
flute,silver,colors,28
football,brown,colors,10
football,white,colors,5
fork,silver,colors,56
fox,brown,colors,5
fox,orange,colors,10
fox,red,colors,89
freckle,brown,colors,24
freezer,white,colors,9
fridge,white,colors,16
frog,green,colors,26
fudge,brown,colors,18
fungus,green,colors,16
garden,green,colors,99
garlic,white,colors,29
gate,white,colors,2
ghetto,black,colors,14
ghost,transparent,colors,5
ghost,white,colors,7
giraffe,black,colors,5
giraffe,brown,colors,14
giraffe,orange,colors,7
giraffe,yellow,colors,15
glow,gold,colors,1
glow,green,colors,4
glow,white,colors,2
glow,yellow,colors,2
glue,white,colors,58
goat,brown,colors,2
goat,gray,colors,2
goat,white,colors,10
gold,yellow,colors,32
goldfish,aqua,colors,17
goldfish,gold,colors,6
goldfish,orange,colors,14
goo,green,colors,18
goose,white,colors,11
gopher,brown,colors,9
gorilla,black,colors,8
grape,green,colors,40
grape,purple,colors,24
grape,red,colors,26
grape,white,colors,4
grapefruit,orange,colors,4
grapefruit,pink,colors,30
grapefruit,yellow,colors,33
grass,green,colors,59
grasshopper,green,colors,26
gravy,brown,colors,5
gray,black,colors,19
gray,white,colors,13
green,blue,colors,17
green,yellow,colors,15
grenade,green,colors,18
groundhog,brown,colors,12
gull,white,colors,8
gums,pink,colors,9
gun,black,colors,10
guppy,aqua,colors,5
guppy,colourful,colors,6
guppy,different_colours,colors,2
hair,black,colors,3
hair,brown,colors,3
hair,red,colors,3
halt,red,colors,1
hamster,brown,colors,5
hare,brown,colors,5
hare,white,colors,6
hay,yellow,colors,32
herb,green,colors,6
honey,gold,colors,5
honeydew,green,colors,11
honeydew,yellow,colors,5
hornet,black,colors,7
hornet,yellow,colors,7
hose,green,colors,15
hospital,white,colors,3
housefly,black,colors,14
iguana,green,colors,19
itch,red,colors,2
ivory,white,colors,36
ivy,green,colors,13
jazz,blue,colors,6
jeans,blue,colors,22
jeep,green,colors,5
juice,orange,colors,92
jungle,green,colors,42
ketchup,red,colors,10
kettle,black,colors,3
kettle,silver,colors,3
key,gold,colors,7
key,silver,colors,5
keyboard_musical,black,colors,18
keyboard_musical,white,colors,15
kite,comes_in_multiple_colours,colors,10
knife,silver,colors,5
lamb,black,colors,6
lamb,white,colors,20
laser,red,colors,8
lawn,green,colors,36
leaf,green,colors,31
leather,black,colors,14
leather,brown,colors,25
leaves,green,colors,16
lemon,yellow,colors,46
leopard,black,colors,3
leopard,orange,colors,1
leopard,yellow,colors,3
lettuce,green,colors,63
lie,white,colors,13
lifeblood,red,colors,10
lime,green,colors,48
limousine,black,colors,14
limousine,white,colors,14
lion,brown,colors,3
lion,gold,colors,5
lion,yellow,colors,4
lips,pink,colors,7
lips,red,colors,10
lizard,green,colors,6
lobster,red,colors,26
log,brown,colors,11
lungs,pink,colors,20
magazine,colourful,colors,6
maggot,white,colors,6
mandarin,orange,colors,22
marijuana,green,colors,12
maroon,brown,colors,14
maroon,purple,colors,16
maroon,red,colors,48
mars,red,colors,7
mask,colourful,colors,2
mask,different_colours,colors,3
meat,red,colors,15
medal,gold,colors,18
medal,silver,colors,16
meow,black,colors,1
metal,gold,colors,14
metal,silver,colors,50
microwave,white,colors,2
milk,white,colors,37
mink,brown,colors,5
mink_coat,black,colors,7
mink_coat,brown,colors,9
mint,green,colors,5
mold,green,colors,20
mole_animal,brown,colors,12
money,green,colors,29
moose,brown,colors,10
moss,green,colors,17
moth,brown,colors,6
mouse,brown,colors,2
mouse,gray,colors,35
mouse,white,colors,8
mousse,white,colors,10
mouth,red,colors,1
mud,brown,colors,10
murder,red,colors,1
mushroom,brown,colors,19
mushroom,gray,colors,1
mushroom,white,colors,14
napkin,white,colors,11
navy,blue,colors,25
necklace,gold,colors,31
necklace,silver,colors,26
nectarine,orange,colors,15
newspaper,black,colors,13
newspaper,white,colors,11
nickel,silver,colors,10
night,black,colors,18
nun,black,colors,40
nun,white,colors,27
oak,brown,colors,6
octopus,squirt_black_ink,colors,3
oil,black,colors,18
oink,pink,colors,1
olive,black,colors,26
olive,green,colors,27
olive,red,colors,5
onion,different_colours,colors,3
onion,purple,colors,3
onion,red,colors,2
onion,white,colors,16
onion,yellow,colors,2
onions,green,colors,5
onions,white,colors,14
onions,yellow,colors,6
orange,orange,colors,21
oriole,black,colors,6
oriole,orange,colors,8
otter,brown,colors,10
owl,brown,colors,7
ox,brown,colors,9
package,brown,colors,16
pale,white,colors,32
pan,gold,colors,6
panther,black,colors,23
pants,black,colors,1
pants,blue,colors,3
paper,white,colors,8
paper lantern,bright,colors,2
paper lantern,colourful,colors,4
paper lantern,different_colours,colors,4
paper lantern,red,colors,2
parsley,green,colors,28
pasture,green,colors,10
patriot,red,colors,8
pavement,black,colors,19
pea,green,colors,19
peach,orange,colors,18
peach,pink,colors,2
peach,red,colors,8
peach,yellow,colors,8
peacock,blue,colors,8
pear,brown,colors,1
pear,green,colors,38
pear,white,colors,10
pear,yellow,colors,22
pearl,black,colors,6
pearl,white,colors,21
peas,green,colors,29
peas,yellow,colors,5
pelican,white,colors,9
pen,black,colors,14
pen,blue,colors,22
pen,red,colors,5
pencil,different_colours,colors,2
pencil,yellow,colors,18
pencil case,colourful,colors,4
pencil case,different_colours,colors,3
penguin,black,colors,24
penguin,white,colors,22
pepper,black,colors,36
pepper,green,colors,7
pepper,red,colors,7
pepper,white,colors,3
pepper,yellow,colors,5
piano,black,colors,21
piano,has_black_and_white_keys,colors,5
piano,white,colors,13
pickle,green,colors,23
pickles,green,colors,43
pig,gray,colors,1
pig,pink,colors,31
pillow,white,colors,5
pimple,red,colors,62
pimple,white,colors,40
pin,silver,colors,5
pine,green,colors,20
pineapple,brown,colors,5
pineapple,green,colors,9
pineapple,yellow,colors,37
plant,green,colors,54
plants,green,colors,28
plaster,white,colors,7
plate,different_colours,colors,3
plate,white,colors,10
plum,orange,colors,1
plum,purple,colors,40
plum,red,colors,7
plum,yellow,colors,1
popeye,olive,colors,5
porcupine,brown,colors,10
postcard,colourful,colors,3
potato,brown,colors,17
potato,red,colors,1
potato,white,colors,10
potato,yellow,colors,1
powder,white,colors,6
princess,pink,colors,13
prisoner,orange,colors,20
prune,purple,colors,9
public phone,red_booth,colors,2
pumpkin,green,colors,1
pumpkin,orange,colors,68
purple,blue,colors,72
purple,red,colors,23
rabbit,white,colors,3
raccoon,black,colors,16
raccoon,white,colors,8
radish,green,colors,5
radish,red,colors,23
radish,white,colors,12
raisin,black,colors,10
raisin,brown,colors,15
raisin,gold,colors,1
raisin,green,colors,1
raisin,purple,colors,4
raisin,yellow,colors,6
rash,red,colors,30
raspberry,black,colors,2
raspberry,pink,colors,3
raspberry,red,colors,36
rat,white,colors,5
rattlesnake,green,colors,5
raven,black,colors,21
razor,silver,colors,1
recycle,green,colors,7
referee,black,colors,19
referee,white,colors,19
reptile,green,colors,12
revolver,black,colors,8
rhubarb,green,colors,13
rhubarb,red,colors,16
rice,brown,colors,20
rice,white,colors,40
rice,white_or_brown,colors,5
rice cooker,white,colors,5
ring,gold,colors,11
ring_jewelry,gold,colors,17
ring_jewelry,silver,colors,15
road,black,colors,17
road,yellow,colors,20
robin,blue,colors,11
robin,red,colors,14
rogue,red,colors,4
roof,black,colors,1
rooster,red,colors,6
rooster,white,colors,5
rose,pink,colors,17
rose,red,colors,38
rose,white,colors,16
roses,pink,colors,12
roses,red,colors,47
roses,white,colors,18
run,red,colors,1
saddle,brown,colors,10
sailor,navy,colors,14
salad,green,colors,66
salamander,green,colors,5
salmon,colour_salmon,colors,2
salmon,pink,colors,18
salmon,red,colors,3
salt,white,colors,28
sandals,brown,colors,5
sandpaper,brown,colors,8
santa,red,colors,51
santa,white,colors,31
sapphire,blue,colors,20
saxophone,gold,colors,7
school bus,yellow,colors,21
scissors,silver,colors,2
screwdriver,orange,colors,11
sea,blue,colors,23
seagull,white,colors,19
seaweed,green,colors,24
shark,grey,colors,6
sheep,black,colors,12
sheep,gray,colors,1
sheep,white,colors,31
shield,silver,colors,2
shine,gold,colors,1
shrimp,blue,colors,2
shrimp,pink,colors,20
shrimp,red,colors,8
shrimp,white,colors,5
shrub,green,colors,42
sidewalk,gray,colors,10
skid,black,colors,2
skunk,black,colors,24
skunk,white,colors,26
sky,blue,colors,145
slime,green,colors,5
smoke,black,colors,1
smoke,gray,colors,2
smoky,gray,colors,5
snail,brown,colors,3
snot,green,colors,10
snow,white,colors,50
sock,white,colors,6
soot,black,colors,19
spade,black,colors,9
spaghetti,red,colors,13
sparkle,white,colors,1
spider,black,colors,15
spinach,green,colors,50
spoon,silver,colors,12
squash,yellow,colors,5
squirrel,brown,colors,47
staple,silver,colors,18
starch,white,colors,6
starling,black,colors,5
stone,gray,colors,22
stork,white,colors,17
straw,yellow,colors,48
strawberry,green,colors,12
strawberry,red,colors,45
strawberry,white,colors,2
submarine,navy,colors,7
submarine,yellow,colors,16
sugar,white,colors,25
suit,black,colors,3
suit,blue,colors,2
suit,brown,colors,2
sun,yellow,colors,52
sunset,orange,colors,32
swan,black,colors,1
swan,gray,colors,1
swan,white,colors,41
swerve,black,colors,7
sword,silver,colors,5
tack,silver,colors,5
tan,brown,colors,14
tangerine,orange,colors,26
tangy,orange,colors,10
tank_army,green,colors,13
tar,black,colors,19
tarnish,silver,colors,12
taxi,black,colors,2
taxi,yellow,colors,43
taxi,yellow_and_black,colors,2
tea,black,colors,3
tea,different_colours,colors,3
tea,green,colors,2
teeth,white,colors,17
teeth,yellow,colors,2
tennis,green,colors,13
tennis,yellow,colors,18
theater,red_curtain,colors,2
thimble,silver,colors,6
tiger,black,colors,17
tiger,gold,colors,1
tiger,orange,colors,16
tire,black,colors,44
tissue,white,colors,18
toad,brown,colors,12
toad,green,colors,19
toast,brown,colors,30
toaster,brown,colors,5
toilet,white,colors,24
tomato,green,colors,12
tomato,has_green_stem,colors,2
tomato,red,colors,46
tongue,pink,colors,3
tongue,red,colors,3
tortoise,green,colors,12
towel,colourful,colors,3
towel,different_colours,colors,9
tractor,red,colors,5
tractor,yellow,colors,6
treasure,gold,colors,17
tree,brown,colors,28
tree,colours_of_leaves_change_in_fall,colors,2
tree,green,colors,45
trees,brown,colors,17
trees,green,colors,31
tricycle,red,colors,13
trombone,gold,colors,6
trophy,gold,colors,30
truck,red,colors,1
trumpet,gold,colors,5
tuba,gold,colors,10
tuna,blue,colors,2
turnip,white,colors,8
turtle,green,colors,74
turtle,green_and_brown,colors,2
tutu,pink,colors,7
tuxedo,black,colors,11
tweezers,silver,colors,2
usa,white,colors,10
vanilla,white,colors,11
vegetable,green,colors,54
vegetables,green,colors,25
veil,black,colors,5
veil,white,colors,11
vein,blue,colors,19
vine,green,colors,18
violet,blue,colors,5
violet,purple,colors,50
violin,brown,colors,5
wagon,red,colors,42
walnut,brown,colors,19
wand,black,colors,7
washington,white,colors,43
wasp,black,colors,8
wasp,yellow,colors,14
water,clear,colors,12
water,looks_blue,colors,2
water,transparent,colors,2
watermelon,green,colors,18
watermelon,pink,colors,6
watermelon,red,colors,12
wedding,white,colors,25
wheat,gold,colors,34
whip,black,colors,7
white,black,colors,6
willow,brown,colors,7
willow,green,colors,7
wine,red,colors,24
wineglass,red,colors,9
witch,black,colors,7
wolf,gray,colors,2
wood,brown,colors,14
worm,brown,colors,8
wrench,silver,colors,5
yam,orange,colors,12
yard,green,colors,14
yell,red,colors,1
yolk,yellow,colors,20
zebra,black,colors,101
zebra,white,colors,96
zit,red,colors,28
zit,white,colors,38
zucchini,green,colors,26
zucchini,white,colors,6
