concept_og,feature_og,freq,feature,concept_en,feature_en
asperges,wit,9,colors,"['asparagus', 'Asparagus officinales', 'edible asparagus']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
aubergine,groen,7,colors,"['brinjal', 'eggplant', 'eggplant bush', 'Solanum melongena', 'mad apple', 'garden egg']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
aubergine,paars,7,colors,"['brinjal', 'eggplant', 'eggplant bush', 'Solanum melongena', 'mad apple', 'garden egg']","['purpleness', 'purple', 'violet', 'reddish blue']"
aubergine,zwart,2,colors,"['brinjal', 'eggplant', 'eggplant bush', 'Solanum melongena', 'mad apple', 'garden egg']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
augurken,groen,9,colors,"['pickle', 'pickled cucumber', 'Salzgurke', 'Cornichons']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
augurken,rood,1,colors,"['pickle', 'pickled cucumber', 'Salzgurke', 'Cornichons']","['red', 'redness']"
auto,blauw,1,colors,"['Automotive trim nomenclature', 'car model', 'automobile model', 'trim level', 'car', 'automobile', 'machine', 'motorcar', 'motor car']","['blue', 'blueness']"
auto,rood,3,colors,"['Automotive trim nomenclature', 'car model', 'automobile model', 'trim level', 'car', 'automobile', 'machine', 'motorcar', 'motor car']","['red', 'redness']"
auto,zwart,1,colors,"['Automotive trim nomenclature', 'car model', 'automobile model', 'trim level', 'car', 'automobile', 'machine', 'motorcar', 'motor car']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bakker,bruin,1,colors,"['bakehouse', 'bakeshop', 'bakery', 'breadmaker', 'baker', 'bread machine', 'bread maker']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
bakker,chocolade,2,colors,"['bakehouse', 'bakeshop', 'bakery', 'breadmaker', 'baker', 'bread machine', 'bread maker']","['chocolate', 'drinking chocolate', 'cocoa', 'hot chocolate']"
bakker,wit,1,colors,"['bakehouse', 'bakeshop', 'bakery', 'breadmaker', 'baker', 'bread machine', 'bread maker']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
ballet,roze,8,colors,['concert dance'],['pink']
ballet,wit,1,colors,['concert dance'],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
banaan,geel,8,colors,['banana'],"['yellow', 'yellowness']"
banaan,groen,1,colors,['banana'],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
banjo,bruin,1,colors,[],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
banjo,rood,1,colors,[],"['red', 'redness']"
banjo,zwart,1,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
baseball,bruin,1,colors,"['baseball game', 'ball']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
baseball,rood,1,colors,"['baseball game', 'ball']","['red', 'redness']"
baseball,wit,1,colors,"['baseball game', 'ball']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
basketbal,oranje,7,colors,"['basketball game', 'basketball', 'basketball player', 'hoops', 'basketball ball']","['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
beha,rood,2,colors,"['bra', 'brassiere', 'bandeau']","['red', 'redness']"
beha,roze,1,colors,"['bra', 'brassiere', 'bandeau']",['pink']
beha,wit,5,colors,"['bra', 'brassiere', 'bandeau']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
beha,zwart,3,colors,"['bra', 'brassiere', 'bandeau']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
beitel,blauw,1,colors,"['chisel', 'stone chisel']","['blue', 'blueness']"
beitel,wit,1,colors,"['chisel', 'stone chisel']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bestek,zilver,5,colors,"['tableware', 'silverware', 'crockery', 'cutlery', 'dishware', 'dishes', 'program', 'plan', 'programme']","['silver', 'Ag', 'whiteness', 'white', 'colorimetric whiteness', 'ash gray', 'silver gray', 'ash grey', 'silver grey']"
bever,bruin,6,colors,"['beaver', 'Castor']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
bever,geel,1,colors,"['beaver', 'Castor']","['yellow', 'yellowness']"
bever,rood,1,colors,"['beaver', 'Castor']","['red', 'redness']"
biet,groen,1,colors,"['beet', 'common beet', 'Beta vulgaris']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
biet,rood,8,colors,"['beet', 'common beet', 'Beta vulgaris']","['red', 'redness']"
biet,wit,1,colors,"['beet', 'common beet', 'Beta vulgaris']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bij,geel,7,colors,"['bee', 'Anthophila']","['yellow', 'yellowness']"
bij,zwart,2,colors,"['bee', 'Anthophila']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bijl,grijs,1,colors,"['ax', 'axe']","['gray', 'grey', 'greyness', 'grayness']"
bikini,bruin,4,colors,['two-piece'],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
bikini,rood,2,colors,['two-piece'],"['red', 'redness']"
bikini,roze,2,colors,['two-piece'],['pink']
bikini,wit,1,colors,['two-piece'],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
biljarten,groen,5,colors,"['billards', 'billiards', 'cue sports']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
biljarten,rood,5,colors,"['billards', 'billiards', 'cue sports']","['red', 'redness']"
biljarten,wit,1,colors,"['billards', 'billiards', 'cue sports']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bizon,bruin,8,colors,"['American buffalo', 'bison', 'American bison', 'buffalo', 'North American bison', 'Bison bison']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
bizon,zwart,1,colors,"['American buffalo', 'bison', 'American bison', 'buffalo', 'North American bison', 'Bison bison']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
blikopener,geel,1,colors,"['tin opener', 'can opener']","['yellow', 'yellowness']"
blikopener,grijs,2,colors,"['tin opener', 'can opener']","['gray', 'grey', 'greyness', 'grayness']"
blikopener,groen,1,colors,"['tin opener', 'can opener']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
blikopener,perzik,2,colors,"['tin opener', 'can opener']","['peach', 'peach tree', 'Prunus persica']"
blikopener,rood,1,colors,"['tin opener', 'can opener']","['red', 'redness']"
bloedzuiger,rood,4,colors,"['hirudinean', 'leech', 'bloodsucker']","['red', 'redness']"
bloedzuiger,zwart,2,colors,"['hirudinean', 'leech', 'bloodsucker']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bloemkool,groen,1,colors,"['cauliflower', 'Brassica oleracea botrytis', 'Brassica oleracea var. botrytis']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
bloemkool,wit,9,colors,"['cauliflower', 'Brassica oleracea botrytis', 'Brassica oleracea var. botrytis']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bloemkool,zwart,1,colors,"['cauliflower', 'Brassica oleracea botrytis', 'Brassica oleracea var. botrytis']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bloes,blauw,2,colors,['blouse'],"['blue', 'blueness']"
bloes,roze,1,colors,['blouse'],['pink']
bloes,wit,4,colors,['blouse'],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bloes,zwart,3,colors,['blouse'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
boa,groen,1,colors,"['Boidae', 'family Boidae']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
boa,rood,1,colors,"['Boidae', 'family Boidae']","['red', 'redness']"
boekhouder,zwart,1,colors,"['accountant', 'controller', 'bookkeeper', 'comptroller']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
boksen,rood,2,colors,"['boxing', 'fisticuffs', 'pugilism']","['red', 'redness']"
boksen,zwart,1,colors,"['boxing', 'fisticuffs', 'pugilism']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bonen,bruin,2,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
bonen,geel,1,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['yellow', 'yellowness']"
bonen,groen,9,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
bonen,rood,1,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['red', 'redness']"
bonen,wit,6,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bonen,zwart,1,colors,"['Boulogne-sur-Mer', 'edible bean', 'bean']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
boormachine,blauw,1,colors,['drill'],"['blue', 'blueness']"
boormachine,groen,1,colors,['drill'],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
boormachine,rood,1,colors,['drill'],"['red', 'redness']"
bord,groen,3,colors,"['board game', 'dish', 'plate', 'board', 'plank', 'sign']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
bord,wit,7,colors,"['board game', 'dish', 'plate', 'board', 'plank', 'sign']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
bosbes,blauw,6,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['blue', 'blueness']"
bosbes,paars,3,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['purpleness', 'purple', 'violet', 'reddish blue']"
bosbes,rood,8,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['red', 'redness']"
bosbes,zwart,2,colors,"['bilberry', 'whinberry', 'blaeberry', 'whortleberry', 'Viccinium myrtillus', 'Vaccinium myrtillus', 'blueberry', 'myrtle berry', 'Whortleberry']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
braambessen,blauw,8,colors,[],"['blue', 'blueness']"
braambessen,paars,5,colors,[],"['purpleness', 'purple', 'violet', 'reddish blue']"
braambessen,rood,9,colors,[],"['red', 'redness']"
braambessen,zwart,5,colors,[],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
brandweerman,oranje,2,colors,"['firemen', 'fire-eater', 'fire fighter', 'firefighter', 'firewoman', 'firefighters', 'fireman']","['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
brandweerman,rood,8,colors,"['firemen', 'fire-eater', 'fire fighter', 'firefighter', 'firewoman', 'firefighters', 'fireman']","['red', 'redness']"
brandweerman,zwart,1,colors,"['firemen', 'fire-eater', 'fire fighter', 'firefighter', 'firewoman', 'firefighters', 'fireman']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
breekijzer,grijs,1,colors,"['jemmy', 'jimmy', 'nail bar', 'crowbar', 'pry bar', 'wrecking bar', 'pry']","['gray', 'grey', 'greyness', 'grayness']"
breekijzer,wit,1,colors,"['jemmy', 'jimmy', 'nail bar', 'crowbar', 'pry bar', 'wrecking bar', 'pry']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
brie,geel,2,colors,"['Brie, Aisne']","['yellow', 'yellowness']"
brie,wit,7,colors,"['Brie, Aisne']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
broek,beige,1,colors,"['swamp', 'swampland', 'pants', 'trousers', 'pair of trousers', 'pant', 'trouser']",['ecru']
broek,blauw,5,colors,"['swamp', 'swampland', 'pants', 'trousers', 'pair of trousers', 'pant', 'trouser']","['blue', 'blueness']"
broek,zwart,1,colors,"['swamp', 'swampland', 'pants', 'trousers', 'pair of trousers', 'pant', 'trouser']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bromfiets,zwart,2,colors,['moped'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
brommer,rood,2,colors,['moped'],"['red', 'redness']"
brommer,zwart,1,colors,['moped'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
broodrooster,blauw,1,colors,['toaster'],"['blue', 'blueness']"
broodrooster,wit,1,colors,['toaster'],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
broodrooster,zwart,4,colors,['toaster'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
bus,geel,4,colors,"['coach', 'motorcoach', 'autobus', 'charabanc', 'double-decker', 'motorbus', 'jitney', 'omnibus', 'passenger vehicle', 'motor coach', 'Motor bus', 'motor bus', 'cylinder']","['yellow', 'yellowness']"
cake,bruin,4,colors,"['pound cake', 'pudding']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
cake,chocolade,6,colors,"['pound cake', 'pudding']","['chocolate', 'drinking chocolate', 'cocoa', 'hot chocolate']"
cake,geel,6,colors,"['pound cake', 'pudding']","['yellow', 'yellowness']"
cake,wit,1,colors,"['pound cake', 'pudding']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
camion,groen,1,colors,"['HGV', 'LGV', 'large goods vehicle', 'medium goods vehicle', 'truck', 'lorry', 'motortruck']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
camion,wit,1,colors,"['HGV', 'LGV', 'large goods vehicle', 'medium goods vehicle', 'truck', 'lorry', 'motortruck']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
camionette (bestelwagen),groen,1,colors,[],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
camionette (bestelwagen),wit,8,colors,[],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
cappucino,chocolade,3,colors,"['cappuccino', 'coffee cappuccino', 'cappuccino coffee']","['chocolate', 'drinking chocolate', 'cocoa', 'hot chocolate']"
cappucino,wit,2,colors,"['cappuccino', 'coffee cappuccino', 'cappuccino coffee']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
cappucino,zwart,1,colors,"['cappuccino', 'coffee cappuccino', 'cappuccino coffee']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
caravan,groen,1,colors,"['caravanette', 'camper van', 'motor coach', 'motor caravan', 'camping bus', 'RV', 'camper', 'motor home', 'motorhome', 'campervan', 'recreational vehicle', 'R.V.']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
caravan,wit,5,colors,"['caravanette', 'camper van', 'motor coach', 'motor caravan', 'camping bus', 'RV', 'camper', 'motor home', 'motorhome', 'campervan', 'recreational vehicle', 'R.V.']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
cello,bruin,2,colors,['violoncello'],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
champignons,blauw,2,colors,"['Agaricus bisporus', 'Agaricus bisporus var. avellaneus']","['blue', 'blueness']"
champignons,bruin,5,colors,"['Agaricus bisporus', 'Agaricus bisporus var. avellaneus']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
champignons,grijs,1,colors,"['Agaricus bisporus', 'Agaricus bisporus var. avellaneus']","['gray', 'grey', 'greyness', 'grayness']"
champignons,wit,4,colors,"['Agaricus bisporus', 'Agaricus bisporus var. avellaneus']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
choco,bruin,9,colors,['Nutella'],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
choco,chocolade,4,colors,['Nutella'],"['chocolate', 'drinking chocolate', 'cocoa', 'hot chocolate']"
choco,zwart,2,colors,['Nutella'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
cimbalen,brons,1,colors,[],['bronze']
cimbalen,goud,3,colors,[],"['gold', 'Au', 'yellow', 'yellowness', 'amber', 'golden brown']"
citroen,geel,9,colors,"['lemon tree', 'Citrus limon', 'lemon', 'Citrus ×limon', 'lime']","['yellow', 'yellowness']"
citroen,groen,1,colors,"['lemon tree', 'Citrus limon', 'lemon', 'Citrus ×limon', 'lime']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
clementine,oranje,9,colors,['Citrinos × clementina'],"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
clementine,wit,1,colors,['Citrinos × clementina'],"['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
cocktail,blauw,1,colors,['mixture'],"['blue', 'blueness']"
cocktail,geel,2,colors,['mixture'],"['yellow', 'yellowness']"
cocktail,groen,1,colors,['mixture'],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
cocktail,oranje,1,colors,['mixture'],"['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
cocktail,rood,1,colors,['mixture'],"['red', 'redness']"
cola,bruin,5,colors,"['cocaine', 'cocain']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
cola,rood,6,colors,"['cocaine', 'cocain']","['red', 'redness']"
cola,zwart,8,colors,"['cocaine', 'cocain']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
contrabas,bruin,2,colors,"['contrabass', 'double bass', 'bass fiddle', 'bass viol', 'string bass', 'bull fiddle', 'Contrabass', 'bass instrument', 'bass']","['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
courgette,groen,9,colors,"['zucchini', 'stuffed zucchinis']","['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
courgette,paars,2,colors,"['zucchini', 'stuffed zucchinis']","['purpleness', 'purple', 'violet', 'reddish blue']"
courgette,wit,2,colors,"['zucchini', 'stuffed zucchinis']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
daas,grijs,1,colors,"['horse fly', 'horsefly', 'cleg', 'clegg', 'Tabanidae']","['gray', 'grey', 'greyness', 'grayness']"
daas,rood,3,colors,"['horse fly', 'horsefly', 'cleg', 'clegg', 'Tabanidae']","['red', 'redness']"
daas,zwart,2,colors,"['horse fly', 'horsefly', 'cleg', 'clegg', 'Tabanidae']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
dadels,bruin,8,colors,['date'],"['John Brown', 'Brown', 'brown', 'brownness', 'Aquilus']"
dadels,olijf,1,colors,['date'],"['olive wood', 'olive grove', 'olive tree', 'olive', 'olive orchard', 'European olive tree', 'Olea europaea']"
dadels,zwart,1,colors,['date'],"['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
das,wit,1,colors,"['Eurasian badger', 'Meles meles', 'European badger', 'necktie', 'tie', 'scarf']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
das,zwart,3,colors,"['Eurasian badger', 'Meles meles', 'European badger', 'necktie', 'tie', 'scarf']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors', 'blackness', 'inkiness']"
dierenarts,wit,3,colors,"['veterinarian', 'veterinary', 'veterinary surgeon', 'vet']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
dinosaurus,grijs,1,colors,['dinosaur'],"['gray', 'grey', 'greyness', 'grayness']"
dinosaurus,groen,7,colors,['dinosaur'],"['environmental awareness', 'environmentalism', 'green', 'viridity', 'greenness']"
dinosaurus,rood,1,colors,['dinosaur'],"['red', 'redness']"
directeur,grijs,2,colors,"['conditioner', 'coach', 'trainer', 'handler', 'manager', 'association football manager', 'leader', 'director', 'head', 'boss', 'chief', 'managing director', 'executive', 'executive director', 'chief officer', 'top dog']","['gray', 'grey', 'greyness', 'grayness']"
doedelzak,oranje,1,colors,"['bagpipes', 'bagpipe']","['pumpkin', 'tomato', 'orangeness', 'orange', 'amber', 'gold', 'golden brown']"
doedelzak,wit,1,colors,"['bagpipes', 'bagpipe']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
dokter,wit,8,colors,"['physician', 'doctor', 'medical doctor', 'MD', 'Dr.', 'medico', 'doc']","['whiteness', 'white', 'colorimetric whiteness', 'humor', 'humour', 'wittiness', 'witticism']"
